title,tags,servings,ingredients,ingredient_quantities,steps,rating,review_count
honey soy chicken wings,"['poultry', 'meat', 'kosher', 'weeknight', 'chicken']",4.0,"['scallion', 'soy sauce', 'hoisin sauce', 'honey', 'fresh ginger', 'white vinegar', 'dijon mustard', 'cayenne pepper', 'garlic', 'chicken wings']","['1', '1/2', '1/2', '2', '3', '2', '2', '1', '1/8', '4', '20']","['combine one set of the scallions, soy sauce, hoisin, sesame oil, honey, ginger, vinegar, mustard, cayenne pepper and garlic in a large bowl.', 'add the wings, tossing to coat.', 'cover and refrigerate up to 1 day (24 hours).', 'preheat oven to 375 degrees f.', 'remove the wings from the marinade and throw away the marinade.', 'arrange the wings in a single layer on baking sheets.', 'bake for 15 minutes, turn, baste, and bake for another 15 minutes.', 'increase the temperature to 450 degrees and bake for another 15 minutes, or until crispy and browned.', 'remake the marinade and pour it into a saucepan.', 'bring the mixture to a boil.', 'boil for 5 minutes or until slightly thickened.', 'pour into a serving bowl and use as a dipping sauce.']",5.0,11.0
kumquat's panzanella (bread and tomato salad),"['vegetable', 'european', 'low cholesterol', 'healthy', 'summer', '< 30 mins', 'no cook', 'beginner cook', 'easy', 'grains']",4.0,"['red onion', 'tomatoes', 'low fat mozzarella', 'kalamata olives', 'fresh basil', 'red wine vinegar', 'extra virgin olive oil', 'garlic clove', 'salt', 'pepper']","['1/2', '8', '4', '4', '12', '1/4', '2', '2', '2', '1', '1', '1/2']","['put diced red onion in a small bowl and cover with water.  (this removes some of the oniony taste.)  the longer you soak it the milder it will become.', 'if bread is not day old, slice and place on cookie sheet in preheated 400 degree oven for about 10-12 minutes.  remove and let cool slightly.', 'meanwhile, prepare and place all ingredients other than the bread and onion in a large bowl and mix.', 'tear bread into bite size pieces, drain onions and add to tomato mix.  combine well.  adjust the seasonings to taste and serve.']",5.0,12.0
bacon jam and potato breakfast pizza #sp5,"['vegetable', '< 30 mins', 'easy', 'potato']",4.0,"['mozzarella cheese', 'eggs']","['1', '2', '1', '3', '4']","['place a pizza stone in the oven and preheat oven to 500°.', 'take potatoes out of bag and place in a colander. rinse and drain well. place potatoes in a clean dish towel and wring dry.', 'roll out pizza dough to a 10 - 12"" round.', 'spread rolled out dough with 2/3 of the bacon jam.', 'top jam layer with one and a half cups of cheese.', 'top cheese with hash browns.', 'spread remaining cheese over hash browns.', 'make 4 small depressions in each quadrant of the pizza.', 'place 1 egg in each of the depressions.', 'dollop remaining bacon jam around top of pizza.', 'bake for 12 minutes, until egg white is cooked and yolk is runny.', ""note: everyone's oven bakes differently. my oven is temperamental and takes longer to bake the eggs. keep an eye on your eggs while they bake and adjust cooking time accordingly.""]",5.0,5.0
"ham, broccoli and cheese souffle","['breakfast', 'ham', 'pork', 'cheese', 'meat', 'toddler friendly', 'kid friendly', 'brunch', '< 60 mins', 'one dish meal']",8.0,"['cheddar cheese', 'mozzarella cheese', 'ham', 'frozen broccoli', 'eggs', 'milk', 'dijon mustard', 'garlic powder', 'butter']","['4', '4', '4', '1', '1', '4', '1 1/2', '1/2', '1/4', '1/8', '1 1/2', '2']","['lightly butter a 9x9 baking pan.', 'line pan with 1/2 the bread cubes.', 'mix the cheeses together,reserving 1/4 cup for topping, and layer 1/2 the cheese on top of the bread.', 'sprinkle the ham and broccoli over the cheese.', 'top with the remaining cheese, then the bread cubes.', 'mix well the eggs, milk, mustard and seasonings and pour over the bread.', 'top with the 1/4 cup cheese.', 'cover with foil and refrigerate overnight if desired.', 'preheat oven to 375 degrees f.', 'mix cornflakes and melted butter and spread on top of casserole.', 'bake 25 minutes covered, then uncover and bake 10-15 minutes more.']",5.0,7.0
bayou burgers,"['high protein', 'high in...', 'summer', 'savory', 'camping', '< 60 mins', 'easy', 'inexpensive', 'meat']",4.0,"['lean ground beef', 'green onion', 'dried basil leaves', 'dried thyme leaves']","['1', '1/4', '1 1/2', '1/4', '1/2', '1/2', '4']","['in medium bowl, combine all ingredients except rolls.', 'shape into 4 patties.', 'grill or broil to desired doneness.', 'serve on rolls and top, if desired, with grilled onions.']",5.0,6.0
stir-fried spinach with garlic,"['greens', 'vegetable', 'chinese', 'asian', 'low protein', 'low cholesterol', '< 15 mins', 'easy', 'spinach']",4.0,"['fresh spinach', 'garlic', 'salt', 'sugar']","['750', '1', '1', '1', '1']","['wash the spinach thoroughly.', 'remove all stems leaving just the leaves.', 'heat the wok (or large frying pan) until it is very hot.', 'add the oil.', 'when the oil it is very hot and slightly smoking, add the garlic and salt.', 'stir-fry both for 10 seconds.', 'add the spinach and stir-fry for about 2 minutes to coat the spinach leaves thoroughly with the oil, garlic and salt.', 'when the spinach has wilted to about one-third of its original size, add the sugar.', 'continue to stir-fry for another 4 minutes.', 'transfer to a plate and pour off any excess liquid.', 'serve hot or cold.']",5.0,6.0
onion-crusted pork chops,"['meat', '< 60 mins', 'oven', 'easy', 'pork']",4.0,"['boneless pork chops', 'dijon mustard']","['1', '1/3', '4', '4']","['preheat oven to 375 degrees.', 'in small bowl, combine onion soup mix and bread crumbs.', 'brush both sides of chops with mustard, then dip in soup mixture until evenly coated.', 'in 13 x 9-inch baking or roasting pan, arrange chops.', 'bake, uncovered, turning once, 30 minutes, or until done.', 'variation: also terrific with lipton® recipe secrets® onion mushroom soup mix.']",5.0,8.0
sunday zucchini and yellow squash,"['vegetable', 'meat', 'summer', '< 60 mins', 'pork']",4.0,"['bacon', 'onion', 'cornmeal', 'flour', 'pepper', 'salt', 'zucchini', 'canola oil']","['3', '1/2', '1/4', '1/8', '1/2', '1/2', '6', '6', '2']","['in large skillet, cook bacon on medium heat until crisp.  reserve drippings in skillet. remove bacon; drain on paper towels; crumble and set aside.', 'add onion to bacon drippings and saute until soft and slightly golden.  remove onion and set aside.  reserve drippings in skillet.', 'mix cornmeal, flour, pepper, and salt in bowl.  dredge each piece of squash in cornmeal mixture covering both sides. place on plate.', 'heat bacon drippings and canola oil on medium-high heat.  add enough yellow squash and zucchini slices to cover bottom of pan.  cook until centers and edges are brown, about 2 to 3 minutes per side. drain.', 'repeat until all squash is fried.  place in serving bowl; toss with onion and garnish with bacon pieces.']",5.0,9.0
creamy wild-rice soup with smoked turkey,"['meat', 'weeknight', 'stove top', '< 4 hours', 'poultry']",8.0,"['butter', 'carrot', 'onion', 'green onion', 'fresh rosemary', 'dried rosemary', 'black pepper', 'garlic cloves', 'wild rice', 'all-purpose flour', '1% low-fat milk', 'skim milk', 'dry sherry', 'salt']","['2', '1', '1', '1', '1', '1/4', '3', '32', '1 1/2', '1', '1/3', '2 3/4', '2', '1/2']","['melt butter in a dutch oven over med high heat; add carrot and next 5 ingredients; saute 8 minutes or until brown.', 'stir in broth scraping pan to loosen browned bits.', 'stir in turkey and rice; cover and simmer 1 hour 15 minutes or until rice is tender.', 'combine flour and milk in a small bowl stirring with a whisk.', 'add flour/milk mixture to pan and cook over medium heat about 8 minutes or until thick.', 'stir in sherry and salt.']",5.0,29.0
norwegian herbed potatoes,"['european', '< 30 mins', 'easy', 'scandinavian']",4.0,"['small red potatoes', 'butter', 'margarine', 'fresh parsley', 'dried marjoram']","['2', '1/2', '1/4', '1/4']","['cook potatoes in boiling salted water for 15 minutes or until tender. cool slightly.', 'with a sharp knife, remove one narrow strip of skin around the middle of each potato.', 'in a large skillet, melt butter; add parsley and marjoram. add the potatoes and stir gently until coated and heated through.']",5.0,7.0
tangy lemon herb sauce,"['low cholesterol', 'healthy', '< 60 mins', 'easy', 'sauces']",4.0,"['plain low-fat yogurt', 'parsley', 'garlic clove', 'extra virgin olive oil', 'lemon zest', 'lemon juice', 'dill weed', 'kosher salt']","['1/2', '2', '1/2', '1/2', '1/2', '1/2', '1', '1/4']","['place all ingredients in small bowl and stir with whisk until smooth.', 'let stand for 30 minutes before serving to allow flavors to blend.', 'if not serving following resting, cover and refrigerate until ready to serve.']",5.0,7.0
jambalaya for the crock pot,"['chicken breast', 'chicken', 'poultry', 'rice', 'meat', 'creole', 'healthy', 'weeknight', 'one dish meal']",6.0,"['boneless skinless chicken breasts', 'green peppers', 'onion', 'celery ribs', 'garlic cloves', 'whole tomatoes', 'tomato paste', 'beef broth', 'parsley', 'basil', 'oregano', 'tabasco sauce', 'cayenne pepper', 'salt', 'shrimp', 'cooked rice']","['12', '1 1/2', '1', '2', '4', '1', '1/3', '1', '1', '1 1/2', '1/2', '1', '1/2', '1/2', '1', '3']","['cut chicken into 1 inch pieces.', 'put all ingredients (except shrimp and rice) in crock pot.', 'cover; cook on low for 8 hours.', 'add shrimp the last 20 minutes of cooking.', 'stir in rice before serving.']",4.5,143.0
